Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Yersinia_pestis
Agrobacterium_tumefaciens,0,5.0,5.0,4.5,6.0,4.5,4.5,6.0,6.0,5.0,3.5,2.5,2.5,6.0,4.0,2.5,4.0,4.0,4.0,4.0,2.5,7.0,4.5,5.0,4.5,6.5,6.0,6.5,7.0,3.5
Bordetella_bronchiseptica,5.0,0,5.0,4.5,6.0,4.5,4.5,6.0,6.0,5.0,3.5,2.5,2.5,6.0,4.0,2.5,4.0,4.0,4.0,4.0,2.5,7.0,4.5,5.0,4.5,6.5,6.0,6.5,7.0,3.5
Bordetella_parapertussis,5.0,5.0,0,4.5,6.0,4.5,4.5,6.0,6.0,5.0,3.5,2.5,2.5,6.0,4.0,2.5,4.0,4.0,4.0,4.0,2.5,7.0,4.5,5.0,4.5,6.5,6.0,6.5,7.0,3.5
Bordetella_pertussis,4.5,4.5,4.5,0,5.5,4.0,4.0,5.5,5.5,4.5,3.0,2.0,2.0,5.5,3.5,2.0,3.5,3.5,3.5,3.5,2.0,6.5,4.0,4.5,4.0,6.0,5.5,6.0,6.5,3.0
Bradyrhizobium_japonicum,6.0,6.0,6.0,5.5,0,5.5,5.5,7.0,7.0,6.0,4.5,3.5,3.5,7.0,5.0,3.5,5.0,5.0,5.0,5.0,3.5,8.0,5.5,6.0,5.5,7.5,7.0,7.5,8.0,4.5
Brucella_melitensis,4.5,4.5,4.5,4.0,5.5,0,4.0,5.5,5.5,4.5,3.0,2.0,2.0,5.5,3.5,2.0,3.5,3.5,3.5,3.5,2.0,6.5,4.0,4.5,4.0,6.0,5.5,6.0,6.5,3.0
Brucella_suis,4.5,4.5,4.5,4.0,5.5,4.0,0,5.5,5.5,4.5,3.0,2.0,2.0,5.5,3.5,2.0,3.5,3.5,3.5,3.5,2.0,6.5,4.0,4.5,4.0,6.0,5.5,6.0,6.5,3.0
Buchnera_aphidicola,6.0,6.0,6.0,5.5,7.0,5.5,5.5,0,7.0,6.0,4.5,3.5,3.5,7.0,5.0,3.5,5.0,5.0,5.0,5.0,3.5,8.0,5.5,6.0,5.5,7.5,7.0,7.5,8.0,4.5
Campylobacter_jejuni,6.0,6.0,6.0,5.5,7.0,5.5,5.5,7.0,0,6.0,4.5,3.5,3.5,7.0,5.0,3.5,5.0,5.0,5.0,5.0,3.5,8.0,5.5,6.0,5.5,7.5,7.0,7.5,8.0,4.5
Caulobacter_crescentus,5.0,5.0,5.0,4.5,6.0,4.5,4.5,6.0,6.0,0,3.5,2.5,2.5,6.0,4.0,2.5,4.0,4.0,4.0,4.0,2.5,7.0,4.5,5.0,4.5,6.5,6.0,6.5,7.0,3.5
