Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Yersinia_pestis
Agrobacterium_tumefaciens,0,4.0,4.0,2.5,2.0,3.0,3.0,4.5,3.0,3.0,3.0,1.5,3.0,4.5,2.5,3.0,3.5,6.0,1.5,3.0,1.5,3.0,4.5,2.0,2.5,4.5,3.0,5.0,3.0,2.0,3.0,1.5
Bordetella_bronchiseptica,4.0,0,5.0,3.5,3.0,4.0,4.0,5.5,4.0,4.0,4.0,2.5,4.0,5.5,3.5,4.0,4.5,7.0,2.5,4.0,2.5,4.0,5.5,3.0,3.5,5.5,4.0,6.0,4.0,3.0,4.0,2.5
Bordetella_parapertussis,4.0,5.0,0,3.5,3.0,4.0,4.0,5.5,4.0,4.0,4.0,2.5,4.0,5.5,3.5,4.0,4.5,7.0,2.5,4.0,2.5,4.0,5.5,3.0,3.5,5.5,4.0,6.0,4.0,3.0,4.0,2.5
Bordetella_pertussis,2.5,3.5,3.5,0,1.5,2.5,2.5,4.0,2.5,2.5,2.5,1.0,2.5,4.0,2.0,2.5,3.0,5.5,1.0,2.5,1.0,2.5,4.0,1.5,2.0,4.0,2.5,4.5,2.5,1.5,2.5,1.0
Bradyrhizobium_japonicum,2.0,3.0,3.0,1.5,0,2.0,2.0,3.5,2.0,2.0,2.0,0.5,2.0,3.5,1.5,2.0,2.5,5.0,0.5,2.0,0.5,2.0,3.5,1.0,1.5,3.5,2.0,4.0,2.0,1.0,2.0,0.5
Brucella_melitensis,3.0,4.0,4.0,2.5,2.0,0,3.0,4.5,3.0,3.0,3.0,1.5,3.0,4.5,2.5,3.0,3.5,6.0,1.5,3.0,1.5,3.0,4.5,2.0,2.5,4.5,3.0,5.0,3.0,2.0,3.0,1.5
Brucella_suis,3.0,4.0,4.0,2.5,2.0,3.0,0,4.5,3.0,3.0,3.0,1.5,3.0,4.5,2.5,3.0,3.5,6.0,1.5,3.0,1.5,3.0,4.5,2.0,2.5,4.5,3.0,5.0,3.0,2.0,3.0,1.5
Buchnera_aphidicola,4.5,5.5,5.5,4.0,3.5,4.5,4.5,0,4.5,4.5,4.5,3.0,4.5,6.0,4.0,4.5,5.0,7.5,3.0,4.5,3.0,4.5,6.0,3.5,4.0,6.0,4.5,6.5,4.5,3.5,4.5,3.0
Campylobacter_jejuni,3.0,4.0,4.0,2.5,2.0,3.0,3.0,4.5,0,3.0,3.0,1.5,3.0,4.5,2.5,3.0,3.5,6.0,1.5,3.0,1.5,3.0,4.5,2.0,2.5,4.5,3.0,5.0,3.0,2.0,3.0,1.5
Caulobacter_crescentus,3.0,4.0,4.0,2.5,2.0,3.0,3.0,4.5,3.0,0,3.0,1.5,3.0,4.5,2.5,3.0,3.5,6.0,1.5,3.0,1.5,3.0,4.5,2.0,2.5,4.5,3.0,5.0,3.0,2.0,3.0,1.5
